sid,name,ticker,type,slug,isin
SRNP,Shree Rama Newsprint Ltd,RAMANEWS,stock,/stocks/shree-rama-newsprint-SRNP,INE278B01020
SNGI,Sanghi Industries Ltd,SANGHIIND,stock,/stocks/sanghi-industries-SNGI,INE999B01013
SCHE,Schaeffler India Ltd,SCHAEFFLER,stock,/stocks/schaeffler-india-SCHE,INE513A01022
SCI,Shipping Corporation of India Ltd,SCI,stock,/stocks/shipping-corporation-of-india-SCI,INE109A01011
SHIE,Shriram Pistons & Rings Ltd,SHRIPISTON,stock,/stocks/shriram-pistons-and-rings-SHIE,INE526E01018
SLVR,Silverline Technologies Ltd,SILVERLINE,stock,/stocks/silverline-technologies-SLVR,INE368A01021
SOLA,Solara Active Pharma Sciences Ltd,SOLARA,stock,/stocks/solara-active-pharma-sciences-SOLA,INE624Z01016
SACE,Spacenet Enterprises India Ltd,SPCENET,stock,/stocks/spacenet-enterprises-india-SACE,INE970N01027
SAKE,Sakuma Exports Ltd,SAKUMA,stock,/stocks/sakuma-exports-SAKE,INE190H01024
SALZ,Salzer Electronics Ltd,SALZERELEC,stock,/stocks/salzer-electronics-SALZ,INE457F01013
SRVE,Sarveshwar Foods Ltd,SARVESHWAR,stock,/stocks/sarveshwar-foods-SRVE,INE324X01026
STLG,STL Global Ltd,SGL,stock,/stocks/stl-global-STLG,INE353H01010
SNTI,Shanti Overseas (India) Ltd,SHANTI,stock,/stocks/shanti-overseas-india-SNTI,INE933X01016
SHNT,Shanthi Gears Ltd,SHANTIGEAR,stock,/stocks/shanthi-gears-SHNT,INE631A01022
SHAU,Shivam Autotech Ltd,SHIVAMAUTO,stock,/stocks/shivam-autotech-SHAU,INE637H01024
SIKK,Sikko Industries Ltd,SIKKO,stock,/stocks/sikko-industries-SIKK,INE112X01025
SINF,Simplex Infrastructures Ltd,SIMPLEXINF,stock,/stocks/simplex-infrastructures-SINF,INE059B01024
SRSW,Shri Ram Switchgears Ltd,SRIRAM,stock,/stocks/shri-ram-switchgears-SRSW,INE634W01012
SBIL,SBI Life Insurance Company Ltd,SBILIFE,stock,/stocks/sbi-life-insurance-company-SBIL,INE123W01016
